Date,Order Ref. / Order Valid Date / Channel,Exch,Stock,Buy/Sell,Qty,Price,Status,Open,Executed,Cancelled,Expired,Margin Amt. Blocked,Discl. Qty,Stop Loss Price,Segment /  Settl.
3/24/2022 14:33,20220315N800044005,NSE,MINLIM,Sell,2,3927,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/24/2022 10:28,20220315N800018792,NSE,MINLIM,Buy,2,4050,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050433,NSE,DIVLAB,Sell,1,4387.85,Executed,0,1,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050446,NSE,HDFBAN,Sell,2,1424.2,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050449,NSE,JUBFOO,Sell,1,2519.95,Executed,0,1,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050420,NSE,MINLIM,Buy,2,3872.35,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050410,NSE,PERSYS,Sell,2,4333.9,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 15:20,20220315N800050368,NSE,AVESUP,Sell,4,4244.65,Executed,0,4,0,0,0,0,0,Rolling/2022050
3/15/2022 14:33,20220315N800044051,NSE,MINLIM,Sell,2,3924.7,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 14:33,20220315N800044005,NSE,MINLIM,Sell,2,3927,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 10:28,20220315N800018792,NSE,MINLIM,Buy,2,4050,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 10:25,20220315N800018353,NSE,AVESUP,Buy,2,4188,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 9:39,20220315N800010668,NSE,AVESUP,Buy,2,4175,Cancelled,0,0,2,0,0,0,0,Rolling/2022050
3/15/2022 9:34,20220315N800009566,NSE,PERSYS,Buy,2,4498,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 9:29,20220315N800008266,NSE,DIVLAB,Buy,1,4465.05,Executed,0,1,0,0,0,0,0,Rolling/2022050
3/15/2022 9:26,20220315N800007619,NSE,HAPMIN,Buy,2,1171.6,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 9:25,20220315N800007285,NSE,JUBFOO,Buy,1,2512,Executed,0,1,0,0,0,0,0,Rolling/2022050
3/15/2022 9:21,20220315N800006174,NSE,HDFBAN,Buy,2,1447.45,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/15/2022 9:16,20220315N800004413,NSE,AVESUP,Buy,2,4196,Executed,0,2,0,0,0,0,0,Rolling/2022050
3/14/2022 15:21,20220314N800051289,NSE,TATMOT,Sell,3,411.4,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 15:20,20220314N800051207,NSE,AVESUP,Sell,3,4169.85,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 15:20,20220314N800051151,NSE,APOHOS,Sell,5,4923.4,Executed,0,5,0,0,0,0,0,Rolling/2022049
3/14/2022 14:11,20220314N800042972,NSE,DHASUG,Sell,2,516.25,Executed,0,2,0,0,0,0,0,Rolling/2022049
3/14/2022 14:10,20220314N800042848,NSE,ONE97,Buy,3,691.1,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 9:57,20220314N800013576,NSE,DHASUG,Buy,2,495.9,Executed,0,2,0,0,0,0,0,Rolling/2022049
3/14/2022 9:55,20220314N800013156,NSE,APOHOS,Buy,2,4876,Executed,0,2,0,0,0,0,0,Rolling/2022049
3/14/2022 9:51,20220314N800012484,NSE,APOHOS,Buy,2,4875,Cancelled,0,0,2,0,0,0,0,Rolling/2022049
3/14/2022 9:35,20220314N800009379,NSE,AVESUP,Buy,3,4165.95,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 9:27,20220314N800007513,NSE,APOHOS,Buy,3,4986.3,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 9:21,20220314N800006043,NSE,TATMOT,Buy,3,413.4,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/14/2022 9:15,20220314N800004254,NSE,ONE97,Sell,3,698.35,Executed,0,3,0,0,0,0,0,Rolling/2022049
3/11/2022 15:21,20220311N800043810,NSE,VEDLIM,Sell,2,377.9,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 15:21,20220311N800043806,NSE,HINDAL,Sell,2,588.5,Executed,0,2,0,0,0,0,0,Rolling/2022048
3/11/2022 15:21,20220311N800043792,NSE,AFFIND,Buy,2,1249.95,Executed,0,2,0,0,0,0,0,Rolling/2022048
